dB
59.18
32.40
28.88
62.81
21.70
62.86
29.90
23.88
24.79
22.86
22.86
18.77
24.79
41.32
20.36
22.86
40.06
21.70
18.77
25.62
20.36
21.70
25.62
21.70
28.32
29.90
28.88
28.32
30.37
30.81
33.42
32.40
32.75
32.40
32.75
34.34
34.62
34.04
35.92
37.46
36.62
37.46
37.26
38.05
40.06
39.60
38.77
39.44
39.28
39.60
38.60
41.18
42.30
42.41
41.70
44.16
40.64
41.32
44.79
43.78
43.68
44.44
42.64
42.30
45.05
45.05
45.30
44.71
44.62
44.88
46.45
48.43
48.43
48.60
46.45
47.14
46.59
47.90
45.46
44.88
45.05
45.30
42.96
44.88
41.94
41.70
40.21
38.95
38.95
39.28
37.46
36.84
33.74
33.09
31.24
32.75
32.40
29.90
29.40
25.62
26.38
29.40
21.70
21.70
21.70
38.24
59.05
18.77
16.84
25.62
26.38
30.81
21.70
47.72
34.90
