Zeit,Platz 1,Platz 2,Platz 3,Platz 4
09:00,,,,
09:10,0,0,0,0
09:20,0,0,1,0
09:30,0,0,1,0
09:40,0,0,2,0
09:50,3,0,2,5
10:00,0,0,2,6
10:10,0,0,2,1
10:20,0,0,2,2
10:30,6,1,2,3
10:40,4,1,2,3
10:50,3,0,3,6
11:00,3,0,10,1
11:10,3,0,10,4
11:20,3,1,10,4
11:30,3,1,10,3
11:40,1,1,13,2
11:50,3,1,11,4
12:00,3,1,12,3
