Zeit,Platz 1,Platz 2,Platz 3,Platz 4
09:00,,,,
09:10,0,0,1,0
09:20,0,0,1,0
09:30,1,0,1,1
09:40,2,0,1,1
09:50,4,1,1,1
10:00,,,,
10:10,,,,
10:20,4,2,1,10
10:30,4,2,1,3
10:40,4,2,5,5
10:50,4,2,8,10
11:00,9,2,8,2
