Zeit,Platz 1,Platz 2,Platz 3,Platz 4
09:00,,,,
09:10,,,,
09:20,,,,
09:30,0,0,2,0
09:40,0,0,6,1
09:50,0,0,7,7
10:00,4,2,7,7
10:10,7,1,7,1
10:20,7,0,9,1
10:30,7,1,9,3
